Track Name,Artist,Streams,Years,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10
Aint No Mountain High Enough,Marvin Gaye,413039.0,2017.0,motown, soul, northern soul, quiet storm, indie rnb, classic soul, funk,,,
Aint My Fault,Zara Larsson,411636.0,2017.0,pop, scandipop, dance pop, swedish electropop, post-teen pop, tropical house, swedish pop, pop dance, electropop, edm
Gold,Kiiara,410605.0,2017.0,electropop, indie poptimism, alt z, pop, dance pop,,,,,
Low Life (feat. The Weeknd),Future,409112.0,2017.0,rap, atl hip hop, trap, pop rap, southern hip hop,,,,,
Gyal You A Party Animal - Remix,Charly Black,406113.0,2017.0,dancehall,,,,,,,,,
Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,403095.0,2017.0,indie pop rap, oakland hip hop, pop rap, rap, hip hop,,,,,
Hasta el Amanecer,Nicky Jam,400584.0,2017.0,latin, reggaeton, latin hip hop, trap latino,,,,,,
Cant Feel My Face,The Weeknd,398209.0,2017.0,pop, rnb, pop,,,,,,,
Love On The Brain,Rihanna,397058.0,2017.0,barbadian pop, pop, dance pop, post-teen pop, urban contemporary,,,,,
Desde Esa Noche (feat. Maluma),Thalia,396612.0,2017.0,mexican pop, latin pop, latin, dance pop,,,,,,
Reminder,The Weeknd,396409.0,2017.0,pop, rnb, pop,,,,,,,
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,393026.0,2017.0,reggaeton colombiano, reggaeton, latin,,,,,,,
My House,Flo Rida,391880.0,2017.0,miami hip hop, dance pop, pop rap, pop,,,,,,
No Role Modelz,J. Cole,389511.0,2017.0,north carolina hip hop, conscious hip hop, rap, hip hop,,,,,,
The Hills,The Weeknd,389467.0,2017.0,pop, rnb, pop,,,,,,,
Swang,Rae Sremmurd,387386.0,2017.0,rap, mississippi hip hop, melodic rap, trap, pop rap, southern hip hop, hip hop,,,
Dont Stop Me Now - Remastered 2011,Queen,387160.0,2017.0,glam rock, classic rock, rock,,,,,,,
Let Me Hold You (Turn Me On),Dante Klein,385235.0,2017.0,pop edm,,,,,,,,,
Uptown Funk (feat. Bruno Mars),Mark Ronson,385214.0,2017.0,dance pop, pop, neo soul,,,,,,,
La Gozadera (feat. Marc Anthony),Gente De Zona,377647.0,2017.0,cubaton, latin, latin hip hop, latin pop,,,,,,
Say It (feat. Tove Lo),Flume,373311.0,2017.0,australian electropop, downtempo, australian dance, australian indie, edm,,,,,
goosebumps,Travis Scott,371600.0,2017.0,slap house, rap,,,,,,,,
